"lake","site","date","chla_mgm3_top","DRP_mgm3_bottom","DRP_mgm3_top","NH4_mgm3_bottom","NH4_mgm3_top","NNN_mgm3_bottom","NNN_mgm3_top","secchi_m","TN_mgm3_bottom","TN_mgm3_top","TP_mg_m3_bottom","TP_mgm3_top","turb_NTU_bottom","turb_NTU_top","pH_bottom","pH_top","chla_mgm3_bottom","datetime"
"Rotoehu","3",2006-01-31,13.7,NA,9,106,42,8,8,1.1,484,680,22,33,1.2,6,7.9,8.1,NA,2006-01-30 12:00:00
"Rotoehu","3",2006-02-22,13.9,NA,5,NA,44,2,187,1.8,617,809,79,59,2.4,5.3,7.5,8.1,NA,2006-02-21 12:00:00
"Rotoehu","3",2006-03-22,9,0,14,110,46,8,6,1.8,406,465,40,44,1.4,3.8,7.8,8,NA,2006-03-21 12:00:00
"Rotoehu","3",2006-04-18,12.3,3,5,14,17,7,7,2.4,555,715,50,50,2.9,NA,8.1,8.1,NA,2006-04-17 12:00:00
"Rotoehu","3",2006-05-23,9.7,NA,5.5,29,33,5,2,2.4,NA,335,24,34,2.4,4,7.9,8,NA,2006-05-22 12:00:00
"Rotoehu","3",2006-06-22,8.2,2,3,0.5,1,5,4,2.6,345,297,38,29,3.8,3.3,7.9,7.8,NA,2006-06-21 12:00:00
"Rotoehu","3",2006-07-18,4.5,2,2,10,5,0.5,0.5,4.2,200.5,200.5,27,22,2.8,1.7,7.8,7.8,NA,2006-07-17 12:00:00
"Rotoehu","3",2006-08-17,14.6,8,10,6,14,44,40,3.1,NA,356,20,NA,2.9,2.8,7.8,7.8,NA,2006-08-16 12:00:00
"Rotoehu","3",2006-09-19,5.9,5,5,40,19,20,20,3,381,323,31,25,3.2,2.9,7.8,7.8,NA,2006-09-18 12:00:00
"Rotoehu","3",2006-10-31,6.5,10,10,4,5,NA,3,3.4,319,120,49,44,2,2,8.4,8.3,NA,2006-10-30 12:00:00
"Rotoehu","3",2006-11-13,8.7,20,18,8,4,3,2,3.7,423,368,48,61,1.9,2.8,8,8,NA,2006-11-12 12:00:00
"Rotoehu","3",2006-12-14,10,66,36,22,14,5,3,2.4,306,356,62,60,3.5,3.7,8,8.1,NA,2006-12-13 12:00:00
"Rotoehu","3",2007-01-17,19.1,56,49,88,22,4,3,0.6,310,414,81,74,1.8,10,7.8,8.3,NA,2007-01-16 12:00:00
"Rotoehu","3",2007-02-26,18.9,NA,52,NA,27,NA,0.5,1.4,NA,603.5,NA,100,NA,6.6,NA,8.7,NA,2007-02-25 12:00:00
"Rotoehu","3",2007-03-20,18.4,67,66,116,107,0.5,0.5,2.2,580.5,769.5,98,118,7,7.8,8,8,NA,2007-03-19 12:00:00
"Rotoehu","3",2007-04-23,NA,39,34,133,108,29,32,NA,549,630,64,66,NA,2.4,8,7.9,NA,2007-04-22 12:00:00
"Rotoehu","3",2007-05-22,7.3,13,14,50,53,32,33,2.7,439,489,35,44,2.7,2.6,7.9,7.9,NA,2007-05-21 12:00:00
"Rotoehu","3",2007-06-20,7.7,10,11,79,79,51,52,4,544,518,38,36,2.2,2.1,7.8,7.8,NA,2007-06-19 12:00:00
"Rotoehu","3",2007-07-24,12.1,2,3,9,15,6,46,2.8,130,337,26,24,1.7,2.3,7.9,7.8,NA,2007-07-23 12:00:00
"Rotoehu","3",2007-08-21,18.5,3,3,2,5,1,1,2.1,391,406,29,32,2.5,2.6,7.92,7.92,NA,2007-08-20 12:00:00
"Rotoehu","3",2007-09-18,10.4,12,12,0.5,0.5,0.5,1,2.3,331.5,332,24,26,3.4,3.5,7.7,7.9,NA,2007-09-17 12:00:00
"Rotoehu","3",2007-10-16,24.1,3,3,2,4,2,2,1.8,386,344,24,20,4.2,4.4,7.8,7.8,NA,2007-10-15 12:00:00
"Rotoehu","3",2007-11-13,6.6,5,9,34,13,2,0.5,2.9,332,280.5,25,29,2.3,2.4,7.6,7.8,NA,2007-11-12 12:00:00
"Rotoehu","3",2007-12-11,5.9,25,25,116,105,4,0.5,4,505,496.5,54,52,2.1,2,7.5,7.6,NA,2007-12-10 12:00:00
"Rotoehu","3",2008-01-07,13.4,37,3,228,13,2,0.5,2,239,243.5,59,36,2.2,3.4,7.5,8.6,NA,2008-01-06 12:00:00
"Rotoehu","3",2008-02-19,11.3,10,8,16,12,1,0.5,2,374,364.5,33,35,2.4,3.5,8,8.3,NA,2008-02-18 12:00:00
